route_id,route_short_name,route_long_name,trip_id,stop_sequence,stop_id,stop_name,arrival_time,departure_time
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,14,901401,Civic Center / UN Plaza,06:43:00,06:44:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,15,901501,16th Street / Mission,06:46:00,06:46:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,16,901601,24th Street / Mission,06:48:00,06:48:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,17,901701,Glen Park,06:50:00,06:51:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,18,901801,Balboa Park,06:53:00,06:53:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,19,901903,Daly City,06:57:00,06:58:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,20,906101,Colma,07:01:00,07:02:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,21,906201,South San Francisco,07:04:00,07:05:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,22,906301,San Bruno,07:08:00,07:08:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674224,23,907101,San Francisco International Airport,07:12:00,07:13:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,0,908302,Antioch,05:50:00,05:50:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,1,908202,Pittsburg Center,05:57:00,05:57:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,2,903802,Pittsburg / Bay Point,06:04:00,06:04:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,3,903702,North Concord / Martinez,06:10:00,06:11:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,4,903602,Concord,06:14:00,06:15:00
BA:Yellow-S,Yellow-S,Antioch to SF Int'l Airport SFO/Millbrae,BA:1674225,5,903502,Pleasant Hill / Contra Costa Centre,06:19:00,06:20:00
